Property_ID,Location,Property_Type,Bedrooms,Bathrooms,Area_sqm,Developer,Status,Price_EGP,Sale_Date
1,Downtown Cairo,Villa,4,2,426,Developer_3,Sold,58808336.35,2024-01-15
2,Nasr City,Duplex,1,3,200,Developer_3,Sold,7203730.35,2024-12-21
3,Maadi,Commercial Office,2,2,91,Developer_5,Sold,5263989.35,2024-04-08
4,Downtown Cairo,Studio,3,3,271,Developer_1,Sold,17041479.25,2024-08-03
5,Zayed City,Commercial Office,5,2,489,Developer_10,Sold,31263922.42,2024-08-03
6,Maadi,Duplex,2,3,274,Developer_2,Sold,10295242.12,2024-01-21
7,Maadi,Apartment,4,3,411,Developer_5,Sold,18480906.06,2024-02-12
8,Downtown Cairo,Retail Space,2,2,461,Developer_8,Sold,44030609.03,2024-12-18
9,6th October City,Studio,4,4,117,Developer_7,Sold,5231507.82,2024-05-05
10,Zayed City,Apartment,2,2,296,Developer_9,Sold,17061145.9,2024-12-23
11,Downtown Cairo,Apartment,2,2,247,Developer_10,Sold,15496176.2,2024-06-15
12,Zayed City,Duplex,3,1,66,Developer_5,Sold,2882688.03,2024-08-22
13,Zayed City,Retail Space,3,2,359,Developer_10,Sold,29337317.44,2024-04-09
14,Maadi,Commercial Office,3,3,274,Developer_7,Sold,14718367.81,2024-10-27
15,Nasr City,Apartment,2,4,376,Developer_4,Sold,15248593.63,2024-11-07
16,Zayed City,Villa,5,2,150,Developer_9,Sold,15811944.6,2024-02-26
17,Heliopolis,Commercial Office,2,3,196,Developer_5,Sold,11006511.65,2024-02-09
18,Maadi,Retail Space,3,2,169,Developer_7,Available,11079489.77,2024-11-22
19,6th October City,Studio,2,3,96,Developer_10,Sold,4090047.38,2024-12-17
20,Nasr City,Commercial Office,5,3,79,Developer_8,Sold,4121550.44,2024-06-08
21,Heliopolis,Duplex,4,4,154,Developer_10,Sold,6265976.13,2024-01-11
22,Heliopolis,Duplex,1,1,215,Developer_6,Sold,9748587.07,2024-11-02
23,6th October City,Studio,3,4,356,Developer_3,Sold,17178813.65,2024-03-18
24,Nasr City,Studio,2,4,337,Developer_3,Sold,11826674.52,2024-05-26
25,Maadi,Studio,5,1,387,Developer_2,Sold,17743229.29,2024-02-26
26,New Cairo,Duplex,3,3,161,Developer_2,Available,8803699.31,2024-06-25
27,Nasr City,Retail Space,3,3,227,Developer_9,Sold,13941750.62,2024-01-16
28,6th October City,Retail Space,4,3,70,Developer_4,Sold,4971332.91,2024-02-20
29,Heliopolis,Commercial Office,1,2,323,Developer_10,Sold,16949713.62,2024-03-10
30,Maadi,Apartment,2,2,100,Developer_5,Sold,3931230.73,2024-04-14
31,Nasr City,Apartment,2,2,370,Developer_4,Available,16240948.79,2024-01-18
32,New Cairo,Villa,3,4,190,Developer_10,Sold,23395795.79,2024-02-26
33,New Cairo,Duplex,5,3,301,Developer_4,Available,17097120.81,2024-03-10
34,Zayed City,Studio,3,3,253,Developer_10,Sold,12015912.24,2024-12-09
35,Zayed City,Retail Space,4,2,139,Developer_10,Sold,10751036.38,2024-04-03
36,Downtown Cairo,Commercial Office,1,4,213,Developer_10,Sold,17052149.14,2024-10-06
37,6th October City,Retail Space,4,4,111,Developer_5,Sold,8749082.72,2024-02-01
38,Nasr City,Duplex,5,1,389,Developer_2,Sold,15628370.6,2024-11-26
39,Nasr City,Villa,2,4,302,Developer_5,Sold,27160238.49,2024-01-31
40,Downtown Cairo,Retail Space,5,1,417,Developer_6,Available,35640785.87,2024-01-22
41,Heliopolis,Apartment,4,4,363,Developer_8,Sold,14203938.94,2024-03-18
42,Heliopolis,Commercial Office,2,1,107,Developer_9,Sold,5768662.35,2024-10-13
43,Downtown Cairo,Apartment,1,4,50,Developer_7,Sold,3217660.3,2024-02-16
44,Heliopolis,Commercial Office,3,1,287,Developer_3,Sold,15155525.43,2024-10-20
45,Zayed City,Studio,1,1,444,Developer_6,Sold,23252515.51,2024-03-15
46,Nasr City,Commercial Office,3,4,482,Developer_9,Sold,23679657.06,2024-10-07
47,Downtown Cairo,Studio,1,1,460,Developer_1,Available,26411396.51,2024-04-16
48,Nasr City,Duplex,2,4,419,Developer_4,Available,16385718.02,2024-05-01
49,New Cairo,Apartment,2,1,258,Developer_2,Sold,13758948.69,2024-01-03
50,Zayed City,Commercial Office,2,1,135,Developer_6,Available,10526558.94,2024-03-14
51,Maadi,Commercial Office,3,2,233,Developer_6,Sold,14597399.14,2024-05-20
52,Zayed City,Villa,2,3,206,Developer_2,Available,22847359.65,2024-05-14
53,Downtown Cairo,Apartment,5,2,295,Developer_3,Sold,17932566.16,2024-02-05
54,Maadi,Duplex,3,3,288,Developer_8,Available,12582920.27,2024-09-12
55,New Cairo,Studio,2,4,472,Developer_1,Sold,24999392.86,2024-01-30
56,Downtown Cairo,Duplex,2,3,238,Developer_8,Sold,13807762.87,2024-06-19
57,6th October City,Villa,1,3,477,Developer_9,Sold,51020717.03,2024-08-29
58,Nasr City,Duplex,5,1,285,Developer_2,Sold,10668080.7,2024-09-07
59,New Cairo,Studio,5,3,294,Developer_6,Sold,16983731.68,2024-03-22
60,Nasr City,Apartment,3,4,251,Developer_7,Sold,10156019.27,2024-08-31
61,Heliopolis,Retail Space,5,4,158,Developer_4,Available,9569787.23,2024-05-26
62,6th October City,Villa,2,2,465,Developer_10,Available,48965443.4,2024-09-30
63,6th October City,Commercial Office,3,3,189,Developer_3,Sold,12542647.89,2024-05-20
64,New Cairo,Commercial Office,4,4,499,Developer_8,Sold,37711371.44,2024-10-11
65,6th October City,Apartment,1,4,97,Developer_1,Sold,5099223.65,2024-04-14
66,Maadi,Retail Space,1,2,499,Developer_10,Sold,32590059.07,2024-01-08
67,6th October City,Duplex,4,2,177,Developer_5,Sold,8440196.13,2024-05-08
68,Nasr City,Commercial Office,3,2,164,Developer_7,Sold,8925806.25,2024-04-08
69,Nasr City,Villa,4,1,68,Developer_1,Sold,5522920.4,2024-04-05
70,Downtown Cairo,Retail Space,5,1,231,Developer_7,Sold,22941374.63,2024-06-02
